baseline OK (fullshape pass, ['s7_the_clears_and_stays_known_answer_gate_against_the_committed_t_disabl', 'totality_04f188936b', 'totality_0ec22598ad', 'totality_18ae809c1b', 'totality_244e7e8111', 'totality_2e4f7f4de5', 'totality_2f5ee2baca', 'totality_3072ba3f6c', 'totality_3405d51a5d', 'totality_3a1bba5455', 'totality_3b119f6978', 'totality_3f47837ddb', 'totality_440b0c76f3', 'totality_4b4d957203', 'totality_510f35ee2f', 'totality_5262dd7e57', 'totality_56d7e2591c', 'totality_59861cd925', 'totality_8c87362f51', 'totality_957a6ce94e', 'totality_9dbaf2e5a8', 'totality_a15c461d59', 'totality_a1b6f9d618', 'totality_aea9103fb7', 'totality_b99147fc28', 'totality_cab6e140cf', 'totality_ccbbb8079f', 'totality_e0971c8f19', 'totality_e6cbbab111', 'totality_ef3e324a80', 'totality_f6819c9e67', 'totality_fa4043337a', 'totality_faf87ceb9f', 'totality_fddb16c7c4'] mutants)

[s7_the_clears_and_stays_known_answer_gate_against_the_committed_t_disabl] (#31) killed  _s7: the clears-and-stays known-answer gate against the committed T disabled  (-k 'test_s7_known_answer_gate_catches_a_corrupted_committed_t')
[totality_957a6ce94e] (#32) killed  run(): totality -- collect_total_4b stripped at line 507 (frozen_check or battery_4b.check_exp4_closed_4b...)  (-k 'test_frozen_check_raise_gives_insufficient_data')
[totality_cab6e140cf] (#33) killed  run(): totality -- collect_total_4b stripped at line 516 (lambda: battery_4b.require_prereg_4b(tag_exists=tag_exists, ...)  (-k 'test_prereg_tag_missing_gives_insufficient_data')
[totality_a1b6f9d618] (#37) killed  run(): totality -- collect_total_4b stripped at line 563 (bt.load_battery...)  (-k 'test_battery_items_raise_gives_insufficient_data')
[totality_3b119f6978] (#38) killed  run(): totality -- collect_total_4b stripped at line 564 (bg.load_floors...)  (-k 'test_floors_raise_gives_insufficient_data')
[totality_2f5ee2baca] (#39) killed  run(): totality -- collect_total_4b stripped at line 512 (check_imports_4b...)  (-k 'test_import_surface_entry_check_raise_gives_insufficient_data')
[totality_0ec22598ad] (#40) killed  run(): totality -- collect_total_4b stripped at line 551 (lambda: battery_4b.T_4_from_verdict_4b(v4)...)  (-k 'test_t4_from_verdict_non_numeric_gives_insufficient_data')
[totality_ef3e324a80] (#41) killed  run(): totality -- collect_total_4b stripped at line 554 (lambda: battery_4b.cells_from_verdict_4b(v4)...)  (-k 'test_cells_from_verdict_off_grid_t_clear_gives_insufficient_data')
[totality_3f47837ddb] (#42) killed  run(): totality -- collect_total_4b stripped at line 593 (lambda: an.load_stage_tables_4(root4, keys=stage_keys)...)  (-k 'test_stage_tables_torn_json_gives_insufficient_data')
[totality_a15c461d59] (#43) killed  run(): totality -- collect_total_4b stripped at line 622 (lambda: gate1_rederive_4b(series_by_traj, rung_sets, elig4, ...)  (-k 'test_gate1_wrapper_catches_a_raise_from_gate1_rederive_4b')
[totality_59861cd925] (#44) killed  run(): totality -- collect_total_4b stripped at line 635 (lambda: gate2_rederive_4b(root4, elig4)...)  (-k 'test_gate2_wrapper_catches_a_raise_from_gate2_rederive_4b')
[totality_18ae809c1b] (#45) killed  run(): totality -- collect_total_4b stripped at line 647 (lambda: gate3_rederive_4b(series_by_traj, rung_sets, elig4, ...)  (-k 'test_gate3_wrapper_catches_a_raise_from_gate3_rederive_4b')
[totality_5262dd7e57] (#46) killed  run(): totality -- collect_total_4b stripped at line 661 (lambda: gate5_rederive_4b(root4, stage_tables_4, v4)...)  (-k 'test_gate5_wrapper_catches_a_raise_from_gate5_rederive_4b')
