baseline OK (fast pass, all mutants)

[alpha_4b_0_01_0_05] (#1) killed  ALPHA_4B = 0.01 -> 0.05
[marginal_4b_0_05_0_1] (#2) killed  MARGINAL_4B = 0.05 -> 0.1
[min_placebo_total_4b_8_7] (#3) killed  MIN_PLACEBO_TOTAL_4B = 8 -> 7
[min_placebo_per_traj_4b_3_2] (#4) killed  MIN_PLACEBO_PER_TRAJ_4B = 3 -> 2
[check_exp4_closed_4b_the_per_file_pin_comparison_skipped] (#5) killed  check_exp4_closed_4b: the per-file pin comparison skipped
[require_prereg_4b_the_tag_exists_check_skipped] (#6) killed  require_prereg_4b: the tag_exists check skipped
[require_prereg_4b_the_blob_binding_equality_check_skipped] (#7) killed  require_prereg_4b: the blob-binding equality check skipped
[loo_trend_4b_leave_one_out_pool_keeps_only_the_rung_itself_inverted_to] (#8) killed  loo_trend_4b: leave-one-out pool keeps ONLY the rung itself (!= inverted to ==)
[placebo_pool_4b_the_eligibility_bar_compares_with_instead_of] (#9) killed  placebo_pool_4b: the eligibility bar compares with > instead of >=
[draw_batteries_4b_placebo_rungs_drawn_without_replacement_integers_choic] (#10) killed  draw_batteries_4b: placebo rungs drawn without replacement (integers -> choice)
[draw_batteries_4b_the_clear_index_assignment_is_not_permuted] (#11) SURVIVED  draw_batteries_4b: the clear-index assignment is not permuted
[alpha_placebo_4b_the_leads_count_condition_inverted] (#12) killed  alpha_placebo_4b: the LEADS count condition inverted
[p_cal_4b_the_add_one_smoothing_dropped_from_p_cal_s_numerator] (#13) killed  p_cal_4b: the add-one smoothing dropped from p_cal's numerator
[p_cal_4b_p_low_s_tolerance_comparison_weakened_from_to] (#14) SURVIVED  p_cal_4b: p_low's tolerance comparison weakened from <= to <
[t_star_4b_t_star_s_sign_flipped_t4_null_mean_t4_null_mean] (#15) killed  t_star_4b: T_star's sign flipped (T4 - null_mean -> T4 + null_mean)
[t_star_4b_the_interval_s_lo_hi_swapped] (#16) killed  t_star_4b: the interval's lo/hi swapped
[reproduce_power_record_4b_gate_4_s_byte_equality_short_circuited_to_true] (#17) SURVIVED  reproduce_power_record_4b: gate (4)'s byte-equality short-circuited to True
[simulate_zero_excess_scaled_the_flat_rung_noise_draw_s_per_trajectory_sc] (#18) SURVIVED  simulate_zero_excess_scaled: the flat-rung noise draw's per-trajectory scale dropped
[simulate_zero_excess_scaled_the_pool_rung_noise_draw_s_per_trajectory_sc] (#19) SURVIVED  simulate_zero_excess_scaled: the pool-rung noise draw's per-trajectory scale dropped
[simulate_zero_excess_scaled_the_eligibility_bar_compares_with_instead_of] (#20) SURVIVED  simulate_zero_excess_scaled: the eligibility bar compares with > instead of >=
[kept_positions_4b_the_site_family_exclusion_inverted_keeps_only_the_excl] (#21) killed  kept_positions_4b: the site-family exclusion inverted (keeps ONLY the excluded site)
[level_ci_4b_the_ci_percentiles_widened_from_2_5_97_5_to_5_0_95_0] (#22) SURVIVED  level_ci_4b: the CI percentiles widened from [2.5, 97.5] to [5.0, 95.0]
[verdict_tree_4b_the_calibrated_bar_weakened_from_to] (#23) SURVIVED  verdict_tree_4b: the CALIBRATED bar weakened from < to <=
[verdict_tree_4b_the_marginal_bar_weakened_from_to] (#24) SURVIVED  verdict_tree_4b: the MARGINAL bar weakened from < to <=
[run_the_stop_before_validation_removed] (#25) killed  run(): the stop_before validation removed
[run_the_stop_before_placebo_early_return_condition_inverted] (#26) killed  run(): the stop_before='placebo' early return condition inverted
[gate1_rederive_4b_t_equality_short_circuited_to_true] (#27) SURVIVED  gate1_rederive_4b: T equality short-circuited to True
[gate2_rederive_4b_the_pass_flag_short_circuited_to_true_regardless_of_di] (#28) SURVIVED  gate2_rederive_4b: the pass flag short-circuited to True regardless of diffs
[gate3_rederive_4b_the_lambda_hat_mismatch_check_disabled] (#29) SURVIVED  gate3_rederive_4b: the lambda_hat mismatch check disabled
[gate5_rederive_4b_the_fraction_below_mismatch_check_disabled] (#30) SURVIVED  gate5_rederive_4b: the fraction_below mismatch check disabled
[s7_the_clears_and_stays_known_answer_gate_against_the_committed_t_disabl] (#31) SURVIVED  _s7: the clears-and-stays known-answer gate against the committed T disabled
[totality_957a6ce94e] (#32) SURVIVED  run(): totality -- collect_total_4b stripped at line 497 (frozen_check or battery_4b.check_exp4_closed_4b...)
[totality_cab6e140cf] (#33) SURVIVED  run(): totality -- collect_total_4b stripped at line 506 (lambda: battery_4b.require_prereg_4b(tag_exists=tag_exists, ...)
[totality_49056099fe] (#34) killed  run(): totality -- collect_total_4b stripped at line 523 (lambda: battery_4b.load_exp4_verdict_4b(root4)...)
[totality_bf074c8deb] (#35) killed  run(): totality -- collect_total_4b stripped at line 525 (lambda: battery_4b.load_exp4_eligibility_4b(root4)...)
[totality_11182daadc] (#36) killed  run(): totality -- collect_total_4b stripped at line 528 (lambda: battery_4b.load_exp4_power_4b(root4)...)
[totality_a1b6f9d618] (#37) SURVIVED  run(): totality -- collect_total_4b stripped at line 553 (bt.load_battery...)
[totality_3b119f6978] (#38) SURVIVED  run(): totality -- collect_total_4b stripped at line 554 (bg.load_floors...)
[totality_2f5ee2baca] (#39) SURVIVED  run(): totality -- collect_total_4b stripped at line 502 (check_imports_4b...)
[totality_0ec22598ad] (#40) SURVIVED  run(): totality -- collect_total_4b stripped at line 541 (lambda: battery_4b.T_4_from_verdict_4b(v4)...)
[totality_ef3e324a80] (#41) SURVIVED  run(): totality -- collect_total_4b stripped at line 544 (lambda: battery_4b.cells_from_verdict_4b(v4)...)
[totality_3f47837ddb] (#42) SURVIVED  run(): totality -- collect_total_4b stripped at line 583 (lambda: an.load_stage_tables_4(root4, keys=stage_keys)...)
[totality_a15c461d59] (#43) SURVIVED  run(): totality -- collect_total_4b stripped at line 612 (lambda: gate1_rederive_4b(series_by_traj, rung_sets, elig4, ...)
[totality_59861cd925] (#44) SURVIVED  run(): totality -- collect_total_4b stripped at line 625 (lambda: gate2_rederive_4b(root4, elig4)...)
[totality_18ae809c1b] (#45) SURVIVED  run(): totality -- collect_total_4b stripped at line 637 (lambda: gate3_rederive_4b(series_by_traj, rung_sets, elig4, ...)
[totality_5262dd7e57] (#46) SURVIVED  run(): totality -- collect_total_4b stripped at line 651 (lambda: gate5_rederive_4b(root4, stage_tables_4, v4)...)
[totality_e2e4f068a5] (#47) killed  run(): totality -- collect_total_4b stripped at line 662 (lambda: power_ext_4b.reproduce_power_record_4b(root4)...)
[totality_aea9103fb7] (#48) SURVIVED  run(): totality -- collect_total_4b stripped at line 765 (lambda: placebo_4b.draw_batteries_4b(pools, design4, B=B, se...)
[totality_fddb16c7c4] (#49) SURVIVED  run(): totality -- collect_total_4b stripped at line 779 (lambda: placebo_4b.p_cal_4b(batteries["T"], T4)...)
[totality_faf87ceb9f] (#50) SURVIVED  run(): totality -- collect_total_4b stripped at line 782 (lambda: placebo_4b.t_star_4b(batteries["T"], T4)...)
[totality_3405d51a5d] (#51) SURVIVED  run(): totality -- collect_total_4b stripped at line 785 (lambda: placebo_4b.alpha_placebo_4b(batteries, seed=battery_...)
[totality_04f188936b] (#52) SURVIVED  run(): totality -- collect_total_4b stripped at line 790 (lambda: placebo_4b.per_traj_4b(batteries, design4, (v4.get("...)
[totality_ccbbb8079f] (#53) SURVIVED  run(): totality -- collect_total_4b stripped at line 794 (lambda: placebo_4b.per_type_4b(pools, cells4, B=B, seed=batt...)
[totality_b99147fc28] (#54) SURVIVED  run(): totality -- collect_total_4b stripped at line 798 (lambda: placebo_4b.s3_shape_4b(batteries, design4, cells4)...)
[totality_510f35ee2f] (#55) SURVIVED  run(): totality -- collect_total_4b stripped at line 800 (lambda: placebo_4b.s4_scatter_ratio_4b(series_by_traj, rung_...)
[totality_56d7e2591c] (#56) SURVIVED  run(): totality -- collect_total_4b stripped at line 803 (lambda: placebo_4b.s5_autocorr_4b(series_by_traj, rung_sets)...)
[totality_e6cbbab111] (#57) SURVIVED  run(): totality -- collect_total_4b stripped at line 805 (lambda: placebo_4b.s8_curves_4b(series_by_traj, rung_sets, c...)
[totality_4b4d957203] (#58) SURVIVED  run(): totality -- collect_total_4b stripped at line 822 (_s1...)
[totality_3a1bba5455] (#59) SURVIVED  run(): totality -- collect_total_4b stripped at line 835 (_s6...)
[totality_440b0c76f3] (#60) SURVIVED  run(): totality -- collect_total_4b stripped at line 884 (_s7...)
[totality_3072ba3f6c] (#61) SURVIVED  run(): totality -- collect_total_4b stripped at line 516 (lambda: mkr4b.check_referents_4b(REFERENTS_PATH_4B, sha_pin=...)
[totality_fa4043337a] (#62) SURVIVED  run(): totality -- collect_total_4b stripped at line 548 (lambda: battery_4b.real_design_4b(cells4)...)
[totality_244e7e8111] (#63) SURVIVED  run(): totality -- collect_total_4b stripped at line 559 (lambda traj=traj: battery_4.load_outcome_4(traj, battery=bat...)
[totality_8c87362f51] (#64) SURVIVED  run(): totality -- collect_total_4b stripped at line 587 (lambda traj=traj: an.load_sweep_tables_4(root4, traj)...)
[totality_e0971c8f19] (#65) SURVIVED  run(): totality -- collect_total_4b stripped at line 593 (lambda refs=refs: collect_4.load_ref_tables_4(root4, refs)...)
[totality_9dbaf2e5a8] (#66) SURVIVED  run(): totality -- collect_total_4b stripped at line 599 (lambda traj=traj, ref_tables=ref_tables, sweep_tables=sweep_...)
[totality_f6819c9e67] (#67) SURVIVED  run(): totality -- collect_total_4b stripped at line 729 (lambda series=series, pia_t1=pia_t1, pia_end=pia_end, flat=f...)
[totality_2e4f7f4de5] (#68) SURVIVED  run(): totality -- collect_total_4b stripped at line 565 (lambda oc=oc: battery_4.rung_sets_4(oc, floors)...)

